Drug Name,Indication
Marimastat,For the treatment of various cancers
Uracil mustard,Used for its antineoplastic properties.
Fentanyl,"Fentanyl intravenous or intramuscular injections are indicated for short term analgesia during induction, maintenance, and recovery from general or regional anesthesia.[Label] These injections are also used with a neuroleptic for premedication, induction, and as an adjunct to maintenance of anesthesia.[Label] Finally, fentanyl intravenous or intramuscular injections are used with oxygen for anesthesia in high risk patients.[Label]

Fentanyl sublingual tablets, transmucosal lozenges, buccal tablets, sublingual sprays, transdermal systems, and nasal sprays are indicated for the management of breakthrough pain in opioid tolerant cancer patients who require around the clock pain management.[L6598,L6601,L6604,L6607,L922,L6610]"
Loperamide,"Loperamide is indicated for the relief of diarrhea, including Travelers’ Diarrhea.[L42785] As an off-label use, it is often used to manage chemotherapy-related diarrhea.[A251610]"
Levamisole,For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.
Dacarbazine,"For the treatment of metastatic malignant melanoma. In addition, dacarbazine is also indicated for Hodgkin's disease as a secondary-line therapy when used in combination with other antineoplastic agents."
Sirolimus,"Sirolimus is indicated for the prophylaxis of organ rejection in patients aged 13 years or older receiving renal transplants. In patients at low-to moderate-immunologic risk, it is recommended that sirolimus be used initially in a regimen with [cyclosporine] and corticosteroids; cyclosporine should be withdrawn two to four months after transplantation. In patients at high-immunologic risk (defined as Black recipients and/or repeat renal transplant recipients who lost a previous allograft for immunologic reason and/or patients with high panel-reactive antibodies [PRA; peak PRA level > 80%]), it is recommended that sirolimus be used in combination with cyclosporine and corticosteroids for the first year following transplantation.[L19809]

It is also used to treat lymphangioleiomyomatosis.[L19809] 

In the US, albumin-bound sirolimus for intravenous injection is indicated for the treatment of adult patients with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumour (PEComa).[L39267]

In Europe, it is recommended that sirolimus for the prophylaxis of organ rejection in renal transplants is used in combination with cyclosporin microemulsion and corticosteroids for two to three months. Sirolimus may be continued as maintenance therapy with corticosteroids only if cyclosporin microemulsion can be progressively discontinued.[L7021]

Topical sirolimus is indicated for the treatment of facial angiofibroma associated with tuberous sclerosis in adults and pediatric patients six years of age and older.[L41489]"
Mechlorethamine,"For the palliative treatment of Hodgkin's disease (Stages III and IV), lymphosarcoma, chronic myelocytic or chronic lymphocytic leukemia, polycythemia vera, mycosis fungoides, and bronchogenic carcinoma. Also for the palliative treatment of metastatic carcinoma resulting in effusion."
Granisetron,"For the prevention of nausea and vomiting associated with initial and repeat courses of emetogenic cancer therapy (including high dose cisplatin), postoperation, and radiation (including total body irradiation and daily fractionated abdominal radiation)."
Testolactone,For palliative treatment of advanced breast cancer in postmenopausal women.
Ethanol,"For therapeutic neurolysis of nerves or ganglia for the relief of intractable chronic pain in such conditions as inoperable cancer and trigeminal neuralgia (tic douloureux), in patients for whom neurosurgical procedures are contraindicated."
Ondansetron,"In the adult patient population:
i) orally administered ondansetron tablets and orally disintegrating tablets (ODT) are indicated for:
- the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, including high dose (ie. greater than or equal to 50 mg/m2) cisplatin therapy, and radiotherapy, and
- the prevention and treatment of postoperative nausea and vomiting

ii) intravenously administered ondansetron injection formulations are indicated for:
- the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, including high dose (ie. greater than or equal to 50 mg/m2) cisplatin therapy, and
- the prevention and treatment of postoperative nausea and vomiting

In the pediatric (4-18 years of age) patient population:
i) ondansetron was effective and well tolerated when given to children 4-12 years of age for the treatment of post-chemotherapy induced nausea and vomiting,
ii) ondansetron tablets, ondansetron ODT, ondansetron injection are not indicated for the treatment of children 3 years of age or younger,
iii) ondansetron tablets, ondansetron ODT, ondansetron injection are not indicated for use in any age group of the pediatric population for the treatment of post-radiotherapy induced nausea and vomiting, and
iV) ondansetron tablets, ondansetron ODT, ondansetron injection are not indicated for use in any age group of the pediatric population for the treatment of postoperative nausea and vomiting

In the geriatric (>65 years of age) patient population:
i) efficacy and tolerance of ondansetron were similar to that observed in younger adults for the treatment of post-chemotherapy and radiotherapy-induced nausea and vomiting, and
ii) clinical experience in the use of ondansetron in the prevention and treatment of postoperative nausea and vomiting is limited and is not indicated for use in the geriatric patient population"
Azacitidine,"Azacitidine (for subcutaneous or intravenous use) is indicated for the treatment of adult patients with the following French-American-British (FAB) myelodysplastic syndrome (MDS) subtypes: refractory anemia (RA) or refractory anemia with ringed sideroblasts (RARS) (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts (RAEB), refractory anemia with excess blasts in transformation (RAEB-T), and chronic myelomonocytic leukemia (CMMoL). Azacitidine is also indicated for the treatment of pediatric patients aged 1 month and older with newly diagnosed Juvenile Myelomonocytic Leukemia (JMML).[L41910,L46861]

Azacitidine (for oral use) is indicated for continued treatment of adult patients with acute myeloid leukemia (AML) who achieved first complete remission or complete remission with incomplete blood count recovery following intensive induction chemotherapy and are not able to complete intensive curative therapy.[L35335]"
Fulvestrant,"For the treatment of hormone receptor positive metastatic breast cancer in postmenopausal women with disease progression following anti-estrogen therapy, as monotherapy or in combination with other antineoplastic agents."
Carboplatin,"Carboplatin is indicated in combination with an established combination of chemotherapeutic agents for the initial treatment of advanced ovarian carcinoma.[L32253] Carboplatin is also indicated for the palliative treatment of ovarian carcinoma, recurrent after prior chemotherapy.[L32253]"
Ethiodized oil,"For use as a radio-opaque medium for hysterosalpingography and lymphography, and as an antineoplastic agent when part of the iodine is 131-I. It is also used in follow-up imaging for chemoembolization."
Dactinomycin,"For the treatment of Wilms' tumor, childhood rhabdomyosarcoma, Ewing's sarcoma and metastatic, nonseminomatous testicular cancer as part of a combination chemotherapy and/or multi-modality treatment regimen"
Nandrolone phenpropionate,"For the treatment of refractory deficient red cell production anemias, breast carcinoma, hereditary angioedema, antithrombin III deficiency, fibrinogen excess, growth failure and Turner's syndrome. It is also indicated in the prophylaxis of hereditary angioedema."
Exemestane,For the treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.
Doxorubicin,"Doxorubicin is indicated for the treatment of neoplastic conditions like acute lymphoblastic leukemia, acute myeloblastic leukemia, Hodgkin and non-Hodgkin lymphoma, metastatic breast cancer, metastatic Wilms’ tumor, metastatic neuroblastoma, metastatic soft tissue and bone sarcomas, metastatic ovarian carcinoma, metastatic transitional cell bladder carcinoma, metastatic thyroid carcinoma, metastatic gastric carcinoma, and metastatic bronchogenic carcinoma.[L45231] Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer.[L45231] For the liposomal formulation, doxorubicin is indicated for the treatment of ovarian cancer that has progressed or recurred after platinum-based chemotherapy, AIDS-Related Kaposi's Sarcoma after the failure of prior systemic chemotherapy or intolerance to such therapy, and multiple myeloma in combination with bortezomib in patients who have not previously received bortezomib and have received at least one prior therapy.[L45226]"
Letrozole,"Letrozole is indicated to treat postmenopausal women with hormone receptor (HR) positive early breast cancer, postmenopausal women with early breast cancer who have periviously been treated with tamoxifen, and postmenopausal women with HR+ or unknown advanced breast cancer.[L11623] Letrozole, given with ribociclib, is indicated to treat pre, peri, and postmenopausal women with HR+ and human epidermal growth factor 2 (HER2) negative advanced or metastatic breast cancer.[L11626]"
Cinacalcet,For the treatment of secondary hyperparathyroidism in patients with Chronic Kidney Disease who are on hemodialysis or peritoneal dialysis. Also for the treatment of hypercalcemia in patients with parathyroid carcinoma.
Topotecan,"For the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. Also used as a second-line therapy for treatment-sensitive small cell lung cancer, as well as in combination with cisplatin for the treatment of stage IV-B, recurrent, or persistent cervical cancer not amenable to curative treatment with surgery and/or radiation therapy."
Melphalan,"Melphalan is indicated for use as a high-dose conditioning treatment prior to hematopoietic stem cell transplantation in patients with multiple myeloma.[L47890] It is also indicated for the palliative treatment of multiple myeloma and for the palliation of non-resectable epithelial carcinoma of the ovary.[L40928]

Melphalan is a component of HEPZATO KIT, a liver-directed therapy indicated for the treatment of adults with uveal melanoma with unresectable hepatic metastases affecting less than 50% of the liver and no extrahepatic disease or extrahepatic disease limited to the bone, lymph nodes, subcutaneous tissues, or lung that is amenable to resection or radiation.[L47895]"
Lubiprostone,"Lubiprostone is indicated for the treatment of adult patients with chronic idiopathic constipation, or opioid-induced constipation in patients with chronic non-cancer pain.[L4421] It is also indicated for the treatment of irritable bowel syndrome with constipation (IBS-C) in female patients ≥18 years old.[L4421]"
Ibuprofen,"Ibuprofen is the most commonly used and prescribed NSAID. It is a very common over-the-counter medication widely used as an analgesic, anti-inflammatory and antipyretic.[A39096]

The use of ibuprofen and its enantiomer [DB09213] in a racemic mix is common for the management of mild to moderate pain related to dysmenorrhea, headache, migraine, postoperative dental pain, spondylitis, osteoarthritis, rheumatoid arthritis, and soft tissue disorder.[A39097]

Due to its activity against prostaglandin and thromboxane synthesis, ibuprofen has been attributed to alteration of platelet function and prolongation of gestation and labour.[A39092]

As ibuprofen is a widely used medication, the main therapeutic indications are:

* Patent Ductus Arteriosus - it is a neonatal condition wherein the ductus arteriosus (blood vessel that connects the main pulmonary artery to the proximal descending aorta) fails to close after birth causing severe risk of heart failure. The prostaglandin inhibition of ibuprofen has been studied for the treatment of this condition as it is known that prostaglandin E2 is responsible for keeping the ductus arteriosus open.[A39100]

* Rheumatoid- and osteo-arthritis - ibuprofen is very commonly used in the symptomatic treatment of inflammatory, musculoskeletal and rheumatic disorders.[A39176]

* Cystic fibrosis - the use of high dosages of ibuprofen has been proven to decrease inflammation and decreasing polymorphonuclear cell influx in the lungs.[A39177]

* Orthostatic hypotension - ibuprofen can induce sodium retention and antagonize the effect of diuretics which has been reported to be beneficial for patients with severe orthostatic hypotension.[A1651]

* Dental pain - ibuprofen is used to manage acute and chronic orofacial pain.[A10901]

* Pain - ibuprofen is widely used to reduce minor aches and pains as well as to reduce fever and manage dysmenorrhea. It is very commonly used for the relief of acute indications such as fever and tension headaches.[A39092] It is also used to manage mild to moderate pain and moderate to severe pain as an adjunct to opioid analgesics.[L40208]

* Investigational uses - efforts have been put into developing ibuprofen for the prophylaxis of Alzheimer's disease, Parkinson disease, and breast cancer.[A39092]"
Melatonin,"Used orally for jet lag, insomnia, shift-work disorder, circadian rhythm disorders in the blind (evidence for efficacy), and benzodiazepine and nicotine withdrawal. Evidence indicates that melatonin is likely effective for treating circadian rhythm sleep disorders in blind children and adults. It has received FDA orphan drug status as an oral medication for this use. A number of studies have shown that melatonin may be effective for treating sleep-wake cycle disturbances in children and adolescents with mental retardation, autism, and other central nervous system disorders. It appears to decrease the time to fall asleep in children with developmental disabilities, such as cerebral palsy, autism, and mental retardation. It may also improve secondary insomnia associated with various sleep-wake cycle disturbances. Other possible uses for which there is some evidence for include: benzodiazepine withdrawal, cluster headache, delayed sleep phase syndrome (DSPS), primary insomnia, jet lag, nicotine withdrawal, preoperative anxiety and sedation, prostate cancer, solid tumors (when combined with IL-2 therapy in certain cancers), sunburn prevention (topical use), tardive dyskinesia, thrombocytopenia associated with cancer, chemotherapy and other disorders."
Pilocarpine,"Pilocarpine oral tablets are indicated for the treatment of dry mouth caused by Sjogren's Syndrome or radiotherapy for cancer of the head and neck.[L48566]

Pilocarpine ophthalmic formulations are used to treat presbyopia in adults,[L48556, L48631] reduce elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension, manage acute angle-closure glaucoma, prevent postoperative elevated IOP associated with laser surgery, and induce miosis.[L48561]"
Hesperetin,"For lowering cholesterol and, possibly, otherwise favorably affecting lipids. <i>In vitro</i> research also suggests the possibility that hesperetin might have some anticancer effects and that it might have some anti-aromatase activity, as well as activity again."
Capecitabine,"Capecitabine is indicated as treatment for a variety of cancer types. For colorectal cancer, capecitabine is indicated as a single agent or a component of a combination chemotherapy regiment for the adjuvant treatment of stage III colon cancer and treatment unresectable or metastatic colorectal cancer. It can also be used as a part of a combination chemotherapy perioperative treatment of adult locally advanced rectal cancer.[L44657] For breast cancer, capecitabine is indicated for advanced or metastatic breast cancer as a single agent if an anthracycline- or taxane-containing chemotherapy is not indicated or as a regimen with docetaxel after disease progression on prior anthracycline-containing chemotherapy.[L44657] For gastric, esophageal, or gastroesophageal junction (GEJ) cancer, capecitabine is indicated as a component of a combination chemotherapy treatment for the treatment of adult unresectable or metastatic gastric, esophageal, or GEJ cancer or adult HER2-overexpressing metastatic gastric or GEJ adenocarcinoma who have not received prior treatment for metastatic disease.[L44657] Finally, for pancreatic cancer, capecitabine is indicated as adjuvant treatment for adult pancreatic adenocarcinoma as a component of a combination chemotherapy regimen.[L44657]"
Diazoxide,"Oral diazoxide is indicated to manage hypoglycemia due to hyperinsulinism associated with conditions such as inoperable islet cell adenoma or carcinoma, and extrapancreatic malignancy in adults, or leucine sensitivity, islet cell hyperplasia, nesidioblastosis, extrapancreatic malignancy, islet cell adenoma, and adenomatosis in infants and children. In infants and children oral diazoxide may be used preoperatively as a temporary measure, and postoperatively, if hypoglycemia persists.[L44612] Diazoxide may also be used parentally or intravenously to treat hypertensive emergencies.[A255632,L44622]"
Bicalutamide,Bicalutamide is indicated in combination with a luteinizing hormone-releasing hormone (LHRH) agonist for the treatment of Stage D2 metastatic carcinoma of the prostate.[L40478]
Amifostine,For reduction in the cumulative renal toxicity in patients with ovarian cancer (using cisplatin) and moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.
Trimetrexate,"For use, with concurrent leucovorin administration (leucovorin protection), as an alternative therapy for the treatment of moderate-to-severe <i>Pneumocystis carinii</i> pneumonia (PCP) in immunocompromised patients, including patients with the acquired immunodeficiency syndrome (AIDS). Also used to treat several types of cancer including colon cancer."
Procarbazine,For use with other anticancer drugs for the treatment of stage III and stage IV Hodgkin's disease.
Ifosfamide,"Used as a component of various chemotherapeutic regimens as third-line therapy for recurrent or refractory germ cell testicular cancer. Also used as a component of various chemotherapeutic regimens for the treatment of cervical cancer, as well as in conjunction with surgery and/or radiation therapy in the treatment of various soft tissue sarcomas. Other indications include treatment of osteosarcoma, bladder cancer, ovarian cancer. small cell lung cancer, and non-Hodgkin's lymphoma."
Fluoxymesterone,"In males, used as replacement therapy in conditions associated with symptoms of deficiency or absence of endogenous testosterone. In females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal."
Iophendylate,Iophendylate is used as a contrast agent to locate spinal tumors.
Estramustine,For the palliative treatment of patients with metastatic and/or progressive carcinoma of the prostate
Lomustine,For the treatment of primary and metastatic brain tumors as a component of combination chemotherapy in addition to appropriate surgical and/or radiotherapeutic procedures. Also used in combination with other agents as secondary therapy for the treatment of refractory or relapsed Hodgkin's disease.
Anastrozole,"Anastrozole is indicated as adjunct therapy in the treatment of hormone receptor-positive early breast cancer in postmenopausal women, and as a first-line treatment for hormone receptor-positive (or hormone receptor-unknown) locally advanced or metastatic breast cancer in postmenopausal women.[L8863] It may also be used in the treatment of advanced breast cancer in postmenopausal women who experience disease progression despite treatment with [tamoxifen].[L8866,L8863]"
Paclitaxel,"Used in the treatment of Kaposi's sarcoma and cancer of the lung, ovarian, and breast. Abraxane® is specfically indicated for the treatment of metastatic breast cancer and locally advanced or metastatic non-small cell lung cancer."
Diphenidol,"For use in the prevention and symptomatic treatment of peripheral (labyrinthine) vertigo and associated nausea and vomiting that occur in such conditions as Meniere's disease and surgery of the middle and inner ear. Also for the control of nausea and vomiting associated with postoperative states, malignant neoplasms, labyrinthine disturbances, antineoplastic agent therapy, radiation sickness, and infectious diseases."
Metoclopramide,"Metoclopramide in the oral tablet form is used for symptomatic treatment of both acute and recurrent diabetic gastroparesis, in addition to the treatment of gastroesophageal reflux disease (GERD) in patients who have failed to respond to traditional therapy.[L8414] A nasal spray formulation is also indicated to treat adults with acute, recurrent diabetic gastroparesis.[L14381]

In the intravenous injection form, it is indicated for the above conditions as well as for the prevention of vomiting that may follow emetogenic chemotherapy or nausea and vomiting after surgery. Intravenous metoclopramide facilitates intubation of the small bowel and stimulates gastric emptying and barium flow in patients who require radiological examination of the stomach or small intestine.  In some cases, the delay of gastrointestinal emptying interferes with the radiographic visualization of the gastrointestinal tract, and metoclopramide is used to facilitate emptying in these cases, allowing for adequate diagnostic visualization.[L8417]

Some off-label uses of metoclopramide include the management of radiation-induced nausea and vomiting, gastric bezoars, intractable hiccups, and migraine pain.[A184961,A184964,A184967,A40105]"
Docetaxel,"Docetaxel is indicated as a single agent for the treatment of locally advanced or metastatic breast cancer after chemotherapy failure; and with doxorubicin and cyclophosphamide as adjuvant treatment of operable node-positive BC. It is also indicated as a single agent for locally advanced or metastatic non-small cell lung cancer (NSCLC) after platinum therapy failure; and with cisplatin for unresectable, locally advanced or metastatic untreated NSCLC. For the treatment of metastatic castration-resistant prostate cancer, docetaxel is indicated with prednisone. Docetaxel is also indicated with cisplatin and fluorouracil for untreated, advanced gastric adenocarcinoma, including the gastroesophageal junction, and with cisplatin and fluorouracil for induction treatment of locally advanced squamous cell carcinoma of the head and neck (SCCHN).[L46466]"
Dasatinib,"Dasatinib is indicated for the treatment of newly diagnosed adults with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase, as well as adults with chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib, and adults with Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy. Dasatinib is also indicated for the treatment of pediatric patients 1 year of age and older with Ph+ CML in chronic phase or newly diagnosed Ph+ ALL in combination with chemotherapy.[L45171]"
Lapatinib,"Indicated in combination with capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress the human epidermal receptor type 2 (HER2) protein and who have received prior therapy including an anthracycline, a taxane, and trastuzumab."
Posaconazole,"For prophylaxis of invasive <em>Aspergillus</em> and <em>Candida</em> infections in patients, 13 years of age and older, who are at high risk of developing these infections due to being severely immunocompromised as a result of procedures such as hematopoietic stem cell transplant (HSCT) recipients with graft-versus-host disease (GVHD), or due to hematologic malignancies with prolonged neutropenia from chemotherapy. Also for the treatment of oropharyngeal candidiasis, including oropharyngeal candidiasis refractory to itraconazole and/or fluconazole. Posaconazole is used as an alternative treatment for invasive aspergillosis, <em>Fusarium</em> infections, and zygomycosis in patients who are intolerant of, or whose disease is refractory to, other antifungals."
Sunitinib,"Sunitinib is indicated for the following conditions:[L4135]

- Treatment of adult patients with gastrointestinal stromal tumor (GIST) following disease progression on (or intolerance to) [imatinib] mesylate
- Treatment of adult patients with advanced renal cell carcinoma (RCC)
- Adjuvant treatment of adult patients at high risk of recurrent RCC following nephrectomy
- Treatment of progressive, well-differentiated pancreatic neuroendocrine tumors (pNET) in adult patients with unresectable locally advanced or metastatic disease"
Panitumumab,"For the treatment of EGFR-expressing, metastatic colorectal carcinoma that is refractory to fluoropyrimidine-, oxaliplatin-, and irinotecan- containing chemotherapy regimens."
Nelarabine,ARRANON is indicated for the treatment of T-cell acute lymphoblastic leukemia (T-ALL) and T-cell lymphoblastic lymphoma (T-LBL) in adult and pediatric patients age 1 year and older whose disease has not responded to or has relapsed following treatment with at least two chemotherapy regimens.[L40878]
Midomafetamine,Clinical trials are now testing the therapeutic potential of MDMA for post-traumatic stress disorder (PTSD) and anxiety associated with terminal cancer. MDMA is one of the four most widely used illicit drugs in the U.S.
Calusterone,"An anabolic steroid which can theoretically aid in restauration and buildup of certain tissues, especially muscle. It is similar to synthetic testosterone and is still in early investigation. It was also investigated for use as a treatment for metastatic breast cancer."
Liotrix,"May be used to treat primary, secondary or tertiary hypothyroidism. May also be used to suppress thyroid stimulating hormone (TSH) secretion in patients with simple (nontoxic) goiter, subacute or chronic lymphocytic thyroiditis multinodular goiter, and in the management of thyroid cancer. May be used in conjunction with other antithyroid agents to treat thyrotoxicosis to prevent goitrogenesis and hypothyroidism. May also be used for differential diagnosis of suspected mild hyperthyroidism or thyroid gland autonomy."
Everolimus,"Everolimus is indicated for the treatment of postmenopausal women with advanced hormone receptor-positive, HER2-negative breast cancer (advanced HR+ BC) in combination with exemestane, after failure of treatment with letrozole or anastrozole.
Indicated for the treatment of adult patients with progressive neuroendocrine tumors of pancreatic origin (PNET) with unresectable, locally advanced or metastatic disease.
Indicated for the treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of treatment with sunitinib or sorafenib.
Indicated for the treatment of adult patients with renal angiomyolipoma and tuberous sclerosis complex (TSC), not requiring immediate surgery.
Indicated in pediatric and adult patients with tuberous sclerosis complex (TSC) for the treatment of subependymal giant cell astrocytoma (SEGA) that requires therapeutic intervention but cannot be curatively resected."
Alverine,Used to relieve cramps or spasms of the stomach and intestines. It is also useful in treating irritable bowel syndrome (IBS) and similar conditions. It can also be used to help relieve period pain. Alverine citrate is also under investigation to increase the cytotoxic effects of the proteasome inhibitor MG132 on breast cancer cells.
Genistein,Currently Genistein is being studied in clinical trials as a treatment for prostate cancer.
Epothilone D,"Investigated for use/treatment in colorectal cancer, lung cancer, breast cancer, solid tumors, and prostate cancer."
Equilin,"For the treatment of moderate to severe vasomotor symptoms associated with the menopause, atrophic vaginitis, osteoporosis, hypoestrogenism due to hypogonadism, castration, primary ovarian failure, breast cancer (for palliation only), and Advanced androgen-dependent carcinoma of the prostate (for palliation only)"
2-Methoxyestradiol,For the treatment of breast cancer and inflammatory diseases such as rheumatoid arthritis.
Patupilone,"Investigated for use/treatment in ovarian cancer, lung cancer, brain cancer, breast cancer, and gastric cancer."
Oteracil,"Oteracil is used as an adjunct to antineoplastic therapy. When used within the product Teysuno, oteracil is indicated for the treatment of adults with advanced gastric (stomach) cancer when given in combination with cisplatin."
Ubenimex,"An adjuvant therapy used  for acute and chronic myelonous leukemia, lung cancer and nasopharyngeal cancer. It is also used to treat hypercholesterolaemia."
Alvocidib,"Investigated for use/treatment in esophageal cancer, leukemia (lymphoid), lung cancer, liver cancer, and lymphoma (unspecified)."
Eniluracil,For the treatment of cancer in combination with 5-fluorouracil.
Thiotepa,"ThioTEPA is used a as conditioning treatment prior to allogeneic or autologous haematopoietic progenitor cell transplantation (HPCT) in haematological diseases in adult and paediatric patients. Also, when high dose chemotherapy with HPCT support it is appropriate for the treatment of solid tumours in adult and paediatric patients."
Quinestrol,"Used in hormone replacement therapy, treating symptoms of menopause such as hot flashes. Also used to treat breast and prostate cancer."
Camptothecin,Investigated for the treatment of cancer.
Inecalcitol,"Investigated for use/treatment in prostate cancer, psoriasis and hyperparathyroidism."
Metamizole,"Metamizole is banned in several countries, where it was previously used as a powerful analgesic and fever reducer. In countries where it is still available, metamizole is indicated for acute severe pain after injuries or surgeries, colic, tumor pain, and acute or severe pain symptoms, as well as high fever if other treatments are unsuccessful.[A251805]"
Cyproterone acetate,For the palliative treatment of patients with advanced prostatic carcinoma.
Ixabepilone,"Investigated for use/treatment in breast cancer, head and neck cancer, melanoma, lung cancer, lymphoma (non-hodgkin's), prostate cancer, renal cell carcinoma, and cancer/tumors (unspecified)."
Cediranib,"For the treatment of liver cancer, advanced non-small cell lung cancer (NSCLC), advanced colorectal cancer (CRC) and other solid tumors."
Biricodar,"Administered intravenously, biricodar dicitrate is to be used in combination with cancer chemotherapy agents."
Tirapazamine,For the treatment of head and neck cancer.
Halofuginone,"For the treatment of scleroderma, cancer, and restenosis."
Lintitript,For the treatment of pancreatic cancer and appetite disorders.
Picoplatin,For the treatment of patients with solid tumors.
Voacamine,For the treatment of malaria. Also under investigation for the modulation of multidrug resistance in cancer cells.
Vatalanib,Used in combination with first- and second-line chemotherapy for the treatment of metastatic colorectal cancer and non-small cell lung cancer (NSCLC).
Elacridar,For the treatment of solid tumors.
Edotecarin,"Clinical studies with edotecarin have shown activity in subjects with colorectal cancer, esophageal cancer and other solid tumors."
AZD3409,For the treatment of solid tumors.
Galiximab,"Investigated for use/treatment in lymphoma (non-hodgkin's), psoriasis and psoriatic disorders, bone metastases, multiple myeloma, prostate cancer, and rheumatoid arthritis."
Tesmilifene,Intended for the treatment of various forms of cancer.
Sitimagene ceradenovec,Intended for the treatment of brain cancer.
G17DT Immunogen,Intended for the treatment of various forms of cancer.
Idronoxil,Intended for the treatment of various forms of cancer.
Ranpirnase,For the treatment of various forms of cancer.
Verpasep caltespen,"Investigated for use/treatment in anal dysplasia, cervical dysplasia/cancer, genital warts, HIV infection, infectious and parasitic disease (unspecified), pediatric indications, warts, and viral infection."
Tipifarnib,"Investigated for use/treatment in colorectal cancer, leukemia (myeloid), pancreatic cancer, and solid tumors."
Oregovomab,Investigated for use/treatment in ovarian cancer.
Lucanthone,Intended for use as a radiation sensitizer in the treatment of brain cancer.
NV1020,Intended for the treatment of various forms of cancer.
Canfosfamide,Intended for the treatment of various forms of cancer.
LErafAON,Intended for the treatment of various forms of cancer.
Banoxantrone,For the treatment of various forms of cancer.
M40403,Intended for the treatment of pain and possibly various forms of cancer.
Plitidepsin,Intended for the treatment of various forms of cancer.
SP1049C,Intended for the treatment of carcinoma of the oesophagus.
CG7870,Intended for the treatment of various forms of cancer.
Tigapotide,For the treatment of late stage Hormone Refractory Prostate Cancer (HRPC) for which no effective therapy currently exists.
ZYC300,For the treatment of various forms of cancer.
IGN311,Intended for the treatment of various forms of cancer.
AP5346,For the treatment of various forms of cancer.
Satraplatin,"Investigated for use/treatment in lung cancer, prostate cancer, and solid tumors."
AGRO100,"Investigated for use/treatment in cancer/tumors (unspecified), kidney cancer, leukemia (myeloid), and pancreatic cancer."
MBO7133,Investigated for use/treatment in liver cancer.
Imexon,"Investigated for use/treatment in melanoma, multiple myeloma, ovarian cancer, pancreatic cancer, and solid tumors."
Adecatumumab,Investigated for use/treatment in breast cancer and prostate cancer.
XEN-2174,For the treatment of chronic cancer pain.
XL999,"Investigated for use/treatment in cancer/tumors (unspecified), lung cancer, and solid tumors."
Amonafide,"Investigated for use/treatment in breast cancer, ovarian cancer, and prostate cancer."
INCB7839,Investigated for use/treatment in breast cancer.
Grn163l,Investigated for use/treatment in leukemia (lymphoid) and solid tumors.
BZL101,Investigated for use/treatment in breast cancer.
VPM4001,Investigated for use/treatment in prostate cancer.
Labetuzumab,Labetuzumab is a humanized monoclonal antibody used to treat cancer.
Prinomastat,"Investigated for use/treatment in brain cancer, lung cancer, and prostate cancer."
Matuzumab,"Investigated for use/treatment in cervical dysplasia/cancer, colorectal cancer, gastric cancer, and lung cancer."
AN-9,"Investigated for use/treatment in liver cancer, lung cancer, melanoma, and leukemia (lymphoid)."
Trabectedin,"Indicated for treatment of advanced soft tissue sarcoma in patients refractory to or unsuitable to receive anthracycline or ifosfamide chemotherapy in Europe, Russia and South Korea. Approved for orphan drug status by the U.S. FDA for treatment of soft tissue sarcomas and ovarian cancer. Investigated for use/treatment in cancer/tumors (unspecified), gastric cancer, ovarian cancer, pediatric indications, sarcoma, and solid tumors."
AP5280,Investigated for use/treatment in solid tumors.
105AD7,Investigated for use/treatment in colorectal cancer.
EHC18,"Investigated for use/treatment in hepatitis (viral, C) and hepatocellular carcinoma."
Thymectacin,Investigated for use/treatment in colorectal cancer.
IGN301,Investigated for use/treatment in cancer/tumors (unspecified).
1D09C3,Intended for the treatment of various forms of cancer.
Tanespimycin,Investigated for use/treatment in leukemia (myeloid) and solid tumors.
Bavituximab,"Investigated for use/treatment in breast cancer, cancer/tumors (unspecified), HIV infection, hepatitis (viral, C), and solid tumors."
RAV12,Investigated for use/treatment in solid tumors.
LY2181308,Investigated for use/treatment in cancer/tumors (unspecified) and solid tumors.
OXI-4503,Investigated for use/treatment in cancer/tumors (unspecified).
XL820,Investigated for use/treatment in solid tumors.
CYT997,Investigated for use/treatment in solid tumors.
CG0070,Investigated for use/treatment in bladder cancer.
XL844,Investigated for use/treatment in cancer/tumors (unspecified) and solid tumors.
TST10088,Investigated for use/treatment in solid tumors.
